paper_id,title,publication_year,publication_type,citation_count,citations_per_year,referenced_works_count,topics,primary_topic,primary_subfield,primary_field,venue_source,authors,institutions,countries,doi,language,is_oa,oa_status
https://openalex.org/W2024046085,Additive logistic regression: a statistical view of boosting (With discussion and a rejoinder by the authors),2000,article,6931,256.7037037037037,42,Advanced Statistical Methods and Models; Imbalanced Data Classification Techniques; Machine Learning and Data Classification,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,The Annals of Statistics,Jerome H. Friedman; Robert Tibshirani; Trevor Hastie,Stanford University,US,https://doi.org/10.1214/aos/1016218223,en,True,bronze
https://openalex.org/W1608836379,Structural Equation Modeling and Regression: Guidelines for Research Practice,2000,article,6358,235.4814814814815,85,Big Data and Business Intelligence; Complex Systems and Decision Making; Technology Adoption and User Behaviour,Big Data and Business Intelligence,Management Information Systems,"Business, Management and Accounting",Communications of the Association for Information Systems,David Gefen; Detmar W. Straub; Marie‐Claude Boudreau,Drexel University; Georgia State University; University of Georgia,US,https://doi.org/10.17705/1cais.00407,en,True,bronze
https://openalex.org/W2054802006,A saliency-based search mechanism for overt and covert shifts of visual attention,2000,article,3185,117.96296296296296,86,Neural dynamics and brain function; Visual Attention and Saliency Detection; Visual perception and processing mechanisms,Visual perception and processing mechanisms,Cognitive Neuroscience,Neuroscience,Vision Research,Christof Koch; L. Itti,California Institute of Technology,US,https://doi.org/10.1016/s0042-6989(99)00163-7,en,True,bronze
https://openalex.org/W1605688901,"An Experimental Comparison of Three Methods for Constructing Ensembles of Decision Trees: Bagging, Boosting, and Randomization",2000,article,2939,108.85185185185185,23,Imbalanced Data Classification Techniques; Machine Learning and Data Classification; Neural Networks and Applications,Machine Learning and Data Classification,Artificial Intelligence,Computer Science,Machine Learning,Thomas G. Dietterich,Oregon State University,US,https://doi.org/10.1023/a:1007607513941,en,True,bronze
https://openalex.org/W2097089247,Text Classification from Labeled and Unlabeled Documents using EM,2000,article,2746,101.70370370370371,58,Machine Learning and Algorithms; Machine Learning and Data Classification; Text and Document Classification Technologies,Text and Document Classification Technologies,Artificial Intelligence,Computer Science,Machine Learning,Andrew Kachites McCallum; Kamal Nigam; Sebastian Thrun; Tom M. Mitchell,Carnegie Mellon University,US,https://doi.org/10.1023/a:1007692713085,en,True,bronze
https://openalex.org/W2053463056,BoosTexter: A Boosting-based System for Text Categorization,2000,article,2189,81.07407407407408,53,Natural Language Processing Techniques; Speech and dialogue systems; Text and Document Classification Technologies,Text and Document Classification Technologies,Artificial Intelligence,Computer Science,Machine Learning,Robert E. Schapire; Yoram Singer,AT&T (United States); Hebrew University of Jerusalem,IL; US,https://doi.org/10.1023/a:1007649029923,en,True,bronze
https://openalex.org/W2155272711,On agent-based software engineering,2000,article,1610,59.629629629629626,68,"Auction Theory and Applications; Logic, Reasoning, and Knowledge; Multi-Agent Systems and Negotiation",Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Artificial Intelligence,Nicholas R. Jennings,University of Southampton,GB,https://doi.org/10.1016/s0004-3702(99)00107-1,en,False,closed
https://openalex.org/W2127041292,THE ROBUSTNESS OF CRITICAL PERIOD EFFECTS IN SECOND LANGUAGEACQUISITION,2000,article,1420,52.592592592592595,108,EFL/ESL Teaching and Learning; Multilingual Education and Policy; Reading and Literacy Development,Multilingual Education and Policy,Linguistics and Language,Social Sciences,Studies in Second Language Acquisition,Robert DeKeyser,University of Pittsburgh,US,https://doi.org/10.1017/s0272263100004022,en,True,bronze
https://openalex.org/W2135843243,TnT,2000,article,1334,49.407407407407405,15,Algorithms and Data Compression; Natural Language Processing Techniques; Topic Modeling,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,,Thorsten Brants,Saarland University,DE,https://doi.org/10.3115/974147.974178,en,True,gold
https://openalex.org/W2155028447,Domain-specific languages,2000,article,1273,47.148148148148145,31,Advanced Software Engineering Methodologies; Model-Driven Software Engineering Techniques; Software Engineering Research,Software Engineering Research,Information Systems,Computer Science,ACM SIGPLAN Notices,Arie van Deursen; Joost Visser; Paul Klint,Centrum Wiskunde & Informatica,NL,https://doi.org/10.1145/352029.352035,en,True,bronze
