paper_id,title,publication_year,publication_date,publication_type,citation_count,citations_per_year,fwci,referenced_works_count,topics,keywords,primary_topic,primary_subfield,primary_field,primary_domain,venue_source,venue_type,authors,institutions,institution_ids,countries,country_names,doi,language,is_oa,oa_status,search_term_used,paper_age,citation_velocity,author_count,institution_count,country_count
https://openalex.org/W4384518334,Bias-tolerant track association based on multiple model features,2023,2023-05-26,article,1.0,0.25,0.1719,1.0,Target Tracking and Data Fusion in Sensor Networks; Advanced Measurement and Detection Methods,Track (disk drive); Computer science; Association (psychology); Position (finance); Data association; Tracking (education); Sensor fusion; Artificial intelligence; Fusion center; Computer vision; Motion (physics); State (computer science); Tracking system; Information fusion; Fusion; Simple (philosophy); Algorithm; Kalman filter; Telecommunications,Target Tracking and Data Fusion in Sensor Networks,Artificial Intelligence,Computer Science,Physical Sciences,,,Xubin Zhu; Han Deqiang,Xi'an Jiaotong University,https://openalex.org/I87445476,CN,China,https://doi.org/10.1109/icetci57876.2023.10176932,en,False,closed,primary_topic.subfield.id:1702,3,0.25,2,1,1
https://openalex.org/W4384518348,Design and Implementation of IT Health Diagnosis System Based on Knowledge Graph and Artificial Intelligence Technology,2023,2023-05-26,article,1.0,0.25,0.1748,0.0,Advanced Graph Neural Networks; Data Quality and Management; Advanced Computational Techniques and Applications,Computer science; Bayesian network; RDF; Knowledge management; Ontology; Relational database; Graph; Data mining; Data science; Semantic Web; Artificial intelligence; Theoretical computer science,Advanced Graph Neural Networks,Artificial Intelligence,Computer Science,Physical Sciences,,,Lin Wang; Yuchen Sun; Fu Haixiang; Bian Huihui; Sun Liang,NARI Group (China),https://openalex.org/I4210118629,CN,China,https://doi.org/10.1109/icetci57876.2023.10176399,en,False,closed,primary_topic.subfield.id:1702,3,0.25,5,1,1
https://openalex.org/W4384518407,Anti tampering identification algorithm for defect measurement data based on big data,2023,2023-05-26,article,1.0,0.25,0.1746,5.0,AI and Multimedia in Education; AI and Big Data Applications,Encryption; Computer science; Cloud computing; Algorithm; Big data; Data mining; Computer network,AI and Multimedia in Education,Artificial Intelligence,Computer Science,Physical Sciences,,,Qiang Zhou; Li Zhu; Xing Liu; Xiuzhen Zheng; Yinxia Fu,Jiangxi Science and Technology Normal University,https://openalex.org/I41317344,CN,China,https://doi.org/10.1109/icetci57876.2023.10176992,en,False,closed,primary_topic.subfield.id:1702,3,0.25,5,1,1
https://openalex.org/W4384518522,Application of Computer Aided Intelligent Translation in English Training System,2023,2023-05-26,article,1.0,0.25,0.1748,1.0,Educational Technology and Pedagogy,Computer science; Translation (biology); Natural language processing; Word (group theory); Artificial intelligence; Matching (statistics); Process (computing); Machine translation; Transfer-based machine translation; Speech recognition; Example-based machine translation; Programming language,Educational Technology and Pedagogy,Artificial Intelligence,Computer Science,Physical Sciences,,,Qinjin Huang,,,,,https://doi.org/10.1109/icetci57876.2023.10176526,en,False,closed,primary_topic.subfield.id:1702,3,0.25,1,0,0
https://openalex.org/W4384518563,Research on the Motion Model of Chaotic Phenomena Based on Computer Artificial Intelligence Simulation,2023,2023-05-26,article,1.0,0.25,0.1746,0.0,Advanced Computational Techniques and Applications; Advanced Decision-Making Techniques,Lyapunov exponent; Chaotic; Synchronizing; Bifurcation diagram; Sequence (biology); Computer science; Synchronization (alternating current); Control theory (sociology); Interval (graph theory); Mathematics; Algorithm; Bifurcation; Topology (electrical circuits); Artificial intelligence; Nonlinear system; Control (management),Advanced Computational Techniques and Applications,Artificial Intelligence,Computer Science,Physical Sciences,,,Jing Lv; Yue Liu; Jungang Zheng; Shuang Chen; Xiaowei Sun,Shenyang Jianzhu University,https://openalex.org/I83714178,CN,China,https://doi.org/10.1109/icetci57876.2023.10176852,en,False,closed,primary_topic.subfield.id:1702,3,0.25,5,1,1
https://openalex.org/W4384518575,Task Scheduling Algorithm of Administrative Management System Based on Ant Colony Optimization Neural Network,2023,2023-05-26,article,1.0,0.25,0.1746,0.0,Advanced Technologies in Various Fields; AI and Big Data Applications; E-commerce and Technology Innovations,Computer science; CloudSim; Simulated annealing; Fitness function; Scheduling (production processes); Ant colony optimization algorithms; Artificial neural network; Genetic algorithm; Algorithm; Cloud computing; Real-time computing; Distributed computing; Artificial intelligence; Machine learning; Mathematical optimization,Advanced Technologies in Various Fields,Artificial Intelligence,Computer Science,Physical Sciences,,,Wenting Li; Jia Xinlin,Southwestern University of Finance and Economics,https://openalex.org/I204831749,CN,China,https://doi.org/10.1109/icetci57876.2023.10176524,en,False,closed,primary_topic.subfield.id:1702,3,0.25,2,1,1
https://openalex.org/W4384520932,SISTEM PENDUKUNG KEPUTUSAN EVALUASI KINERJA MITRA BISNIS DISTRIBUTOR MAINAN MENGGUNAKAN METODE SMART BERBASIS WEB,2023,2023-07-18,article,1.0,0.25,0.1657,2.0,Edcuational Technology Systems; Big Data and Business Intelligence; Decision Support System Applications,Humanities; Mathematics; Business administration; Art; Business,Edcuational Technology Systems,Artificial Intelligence,Computer Science,Physical Sciences,Jurnal Informatika dan Teknik Elektro Terapan,journal,Khoerul Abidin,Universitas Mercu Buana Yogyakarta,https://openalex.org/I4210146629,ID,Indonesia,https://doi.org/10.23960/jitet.v11i3.3343,id,True,diamond,primary_topic.subfield.id:1702,3,0.25,1,1,1
https://openalex.org/W4384521375,Machine learning for rectal cancer prediction based on metabolic changes on amino acids,2023,2023-06-01,article,1.0,0.25,0.1748,17.0,Machine Learning in Healthcare; Colorectal Cancer Screening and Detection; Artificial Intelligence in Healthcare,Machine learning; Computer science; Artificial intelligence; Identification (biology); Field (mathematics); Colorectal cancer; Statistical classification; Feature selection; Cancer; Medicine,Machine Learning in Healthcare,Artificial Intelligence,Computer Science,Physical Sciences,,,José Jean-Paul Zanlucchi de Souza Tavares; Pedro Brandão; Ivo Barros; José Gonçalves; Isabel Praça; Lúcia Lacerda; Marisa D. Santos,Polytechnic Institute of Porto; Escola Superior de Enfermagem do Porto; Universidade do Porto; Hospital de Santo António; Centro Hospitalar do Porto; Centro de Genética Clínica,https://openalex.org/I83863532; https://openalex.org/I4210123501; https://openalex.org/I182534213; https://openalex.org/I4210127365; https://openalex.org/I4210154840; https://openalex.org/I4210089763,PT,Portugal,https://doi.org/10.1109/cbms58004.2023.00219,en,False,closed,primary_topic.subfield.id:1702,3,0.25,7,6,1
https://openalex.org/W4384522067,Distribution of the autocorrelation of random Boolean functions,2023,2023-07-17,article,1.0,0.25,0.1681,14.0,Coding theory and cryptography; Algorithms and Data Compression; Chaos-based Image/Signal Encryption,Autocorrelation; Boolean function; Mathematics; Boolean network; Boolean expression; Sequence (biology); Binary number; Pseudorandom binary sequence; Discrete mathematics; Two-element Boolean algebra; Parity function; Combinatorics; Statistics; Pure mathematics; Algebra over a field; Arithmetic,Coding theory and cryptography,Artificial Intelligence,Computer Science,Physical Sciences,Cryptography and Communications,journal,François Rodier; Florian Caullery; Éric Férard,"Centre National de la Recherche Scientifique; Institut Polytechnique de Bordeaux; Institut de Mathématiques de Marseille; Centrale Marseille; Fondation Sophia Antipolis; Laboratoire Analyse, Géométrie et Applications; University of French Polynesia",https://openalex.org/I1294671590; https://openalex.org/I4210160189; https://openalex.org/I4210138206; https://openalex.org/I4210142724; https://openalex.org/I4210150884; https://openalex.org/I4210102686; https://openalex.org/I86908984,FR; PF,France; PF,https://doi.org/10.1007/s12095-023-00653-3,en,False,closed,primary_topic.subfield.id:1702,3,0.25,3,7,2
https://openalex.org/W4384523373,Post-COVID-19 Impact on the Oman Tourism Market: Coping Strategies of the Hospitality Sector in Dhofar Governorate,2023,2023-07-17,book-chapter,1.0,0.25,0.5054,15.0,Organizational and Employee Performance; Islamic Finance and Banking Studies; COVID-19 Pandemic Impacts,Hospitality; Tourism; Business; Coping (psychology); Pandemic; Government (linguistics); Exploratory research; Economic shortage; Revenue; Hospitality industry; Marketing; Coronavirus disease 2019 (COVID-19); Qualitative research; Public relations; Finance; Political science; Psychology; Sociology,Organizational and Employee Performance,Artificial Intelligence,Computer Science,Physical Sciences,Sustainable development,journal,Ali Said Akaak; Mohammed Nazeer Ahmed; Navaneetha Krishnan Rajagopal; Khalid Salim Al-Shanfari,,,,,https://doi.org/10.5772/intechopen.112019,en,True,hybrid,primary_topic.subfield.id:1702,3,0.25,4,0,0
