paper_id,title,publication_year,publication_date,publication_type,citation_count,citations_per_year,fwci,referenced_works_count,topics,keywords,primary_topic,primary_subfield,primary_field,primary_domain,venue_source,venue_type,authors,institutions,institution_ids,countries,country_names,doi,language,is_oa,oa_status,search_term_used,paper_age,citation_velocity,author_count,institution_count,country_count
https://openalex.org/W3129717045,An FPGA Implementation of a Gaussian Process Based Predictor for Sequential Time Series Data,2020,2020-11-01,article,3.0,0.42857142857142855,0.0,11.0,Gaussian Processes and Bayesian Inference; Real-time simulation and control systems; CCD and CMOS Imaging Sensors,Computer science; Python (programming language); Field-programmable gate array; Gaussian process; Kriging; Speedup; PCI Express; Time series; MPSoC; Coprocessor; Gaussian; Algorithm; Parallel computing; Artificial intelligence; Machine learning; Computer hardware,Gaussian Processes and Bayesian Inference,Artificial Intelligence,Computer Science,Physical Sciences,,,Suzuki Hirokazu; Seiji Tsutsumi; Yukinori Sato,Toyohashi University of Technology; National Sagamihara Hospital,https://openalex.org/I136259955; https://openalex.org/I4210115833,JP,Japan,https://doi.org/10.1109/candarw51189.2020.00091,en,False,closed,primary_topic.subfield.id:1702,6,0.42857142857142855,3,2,1
https://openalex.org/W3129800954,Monitoring IoT Encrypted Traffic with Deep Packet Inspection and Statistical Analysis,2020,2020-12-08,article,3.0,0.42857142857142855,0.136,12.0,Internet Traffic Analysis and Secure E-voting; Network Security and Intrusion Detection; Advanced Malware Detection Techniques,Deep packet inspection; Computer science; Encryption; Traffic analysis; Network packet; Internet of Things; Computer network; Traffic classification; The Internet; Real-time computing; Computer security; World Wide Web,Internet Traffic Analysis and Secure E-voting,Artificial Intelligence,Computer Science,Physical Sciences,,,Luca Deri; Daniele Sartiano,Institute of Informatics and Telematics; University of Pisa,https://openalex.org/I4210130157; https://openalex.org/I108290504,IT,Italy,https://doi.org/10.23919/icitst51030.2020.9351330,en,False,closed,primary_topic.subfield.id:1702,6,0.42857142857142855,2,2,1
https://openalex.org/W3129961329,K-modes Based Categorical Data Clustering Algorithms Satisfying Differential Privacy,2020,2020-12-01,article,3.0,0.42857142857142855,0.136,22.0,"Privacy-Preserving Technologies in Data; Privacy, Security, and Data Protection; Cryptography and Data Security",Cluster analysis; Differential privacy; Computer science; Data mining; CURE data clustering algorithm; Categorical variable; Data stream clustering; Canopy clustering algorithm; Correlation clustering; Algorithm; Artificial intelligence; Machine learning,Privacy-Preserving Technologies in Data,Artificial Intelligence,Computer Science,Physical Sciences,,,Mingshuang Li; Yihui Zhou; Wenru Tang; Laifeng Lu,Shaanxi Normal University,https://openalex.org/I88830068,CN,China,https://doi.org/10.1109/nana51271.2020.00022,en,False,closed,primary_topic.subfield.id:1702,6,0.42857142857142855,4,1,1
https://openalex.org/W3130369674,Generalized linear mixed hidden<scp>semi‐Markov</scp>models in longitudinal settings: A Bayesian approach,2021,2021-02-15,article,3.0,0.5,0.0,56.0,Bayesian Methods and Mixture Models; Statistical Methods and Bayesian Inference; Statistical Methods and Inference,Categorical variable; Generalized linear mixed model; Computer science; Generalized linear model; Markov chain Monte Carlo; Hidden Markov model; Latent variable; Bayesian probability; Count data; Random effects model; Mathematics; Statistics; Artificial intelligence; Machine learning; Poisson distribution,Bayesian Methods and Mixture Models,Artificial Intelligence,Computer Science,Physical Sciences,Statistics in Medicine,journal,Saiedeh Haji‐Maghsoudi; Jan Bulla; Majid Sadeghifar; Ghodratollah Roshanaei; Hossein Mahjub,Hamedan University of Medical Sciences; University of Bergen; University of Regensburg; Bu-Ali Sina University,https://openalex.org/I112312016; https://openalex.org/I4432739; https://openalex.org/I60668342; https://openalex.org/I167694869,IR; NO; DE,Iran; Norway; Germany,https://doi.org/10.1002/sim.8908,en,False,closed,primary_topic.subfield.id:1702,5,0.5,5,4,3
https://openalex.org/W3130983533,"Method validation of As, Cd, Cr, Cu, Mn, Ni, Se, and Zn metals in Citarum River sediment using Inductively Coupled Plasma – Optical Emission Spectroscopy (ICP-OES)",2021,2021-02-01,article,3.0,0.5,0.1399,8.0,Geochemistry and Geologic Mapping; Heavy metals in environment; Mineral Processing and Grinding,Inductively coupled plasma; Detection limit; Sediment; Environmental chemistry; Environmental science; Inductively coupled plasma atomic emission spectroscopy; Pollutant; Inductively coupled plasma mass spectrometry; Water quality; Chemistry; Mass spectrometry; Geology; Plasma; Chromatography; Physics,Geochemistry and Geologic Mapping,Artificial Intelligence,Computer Science,Physical Sciences,Journal of Physics Conference Series,journal,T A Koesmawati; S Tanuwidjaja; Ari Nurachman,"Indonesian Institute of Sciences; Ministry of Research, Technology and Higher Education; Universitas Gadjah Mada",https://openalex.org/I19128659; https://openalex.org/I4210088882; https://openalex.org/I165230279,ID,Indonesia,https://doi.org/10.1088/1742-6596/1764/1/012030,en,True,diamond,primary_topic.subfield.id:1702,5,0.5,3,3,1
https://openalex.org/W3131008222,Multi Sensorial Stimulation Lab: A New Approach for Severe Dementia,2021,2021-01-01,book-chapter,3.0,0.5,0.7181,46.0,Cognitive Science and Mapping,Mood; Dementia; Protocol (science); Computer science; Sensory stimulation therapy; Psychology; Sensory system; Human–computer interaction; Medicine; Cognitive psychology; Psychiatry; Alternative medicine; Disease,Cognitive Science and Mapping,Artificial Intelligence,Computer Science,Physical Sciences,Lecture notes in electrical engineering,book series,Alberto Boccadamo; Alessandra De Luca; Luca Palamà; Daniele Sancarlo; Alessandro Leone; Giovanni Diraco; Pietro Siciliano; Antonio Toma; Michele Maffia; Lidia De Riccardis; Leonardo D’Alessandro; Gianfranco Borrelli; Massimo Pistoia,Università degli studi di Cassino e del Lazio Meridionale; Casa Sollievo della Sofferenza; National Research Council; Institute for Microelectronics and Microsystems; University of Salento; Conversant (Canada); Azienda-Unita' Sanitaria Locale Di Cesena,https://openalex.org/I186995768; https://openalex.org/I2800188116; https://openalex.org/I4210155236; https://openalex.org/I4210165120; https://openalex.org/I142910587; https://openalex.org/I4210106756; https://openalex.org/I4210136873,IT; CA,Italy; Canada,https://doi.org/10.1007/978-3-030-63107-9_6,en,False,closed,primary_topic.subfield.id:1702,5,0.5,13,7,2
https://openalex.org/W3131370031,Logic of Convex Order,2021,2021-02-18,article,3.0,0.5,0.28,23.0,"Logic, Reasoning, and Knowledge; Advanced Algebra and Logic; Logic, programming, and type systems",Computer science; Regular polygon; Order (exchange); First-order logic; Set (abstract data type); Algebra over a field; Mathematics; Theoretical computer science; Programming language; Pure mathematics,"Logic, Reasoning, and Knowledge",Artificial Intelligence,Computer Science,Physical Sciences,Studia Logica,journal,Chenwei Shi; Yang Sun,Tsinghua University,https://openalex.org/I99065089,CN,China,https://doi.org/10.1007/s11225-020-09940-z,en,False,closed,primary_topic.subfield.id:1702,5,0.5,2,1,1
https://openalex.org/W3131906455,<b>intRinsic</b>: An <i>R</i> Package for Model-Based Estimation of the Intrinsic Dimension of a Dataset,2023,2023-01-01,article,3.0,0.75,0.5055,67.0,Bayesian Methods and Mixture Models; Gene expression and cancer classification; Statistical Methods and Inference,Estimator; Frequentist inference; Intrinsic dimension; Dimension (graph theory); Dimensionality reduction; Inference; Computer science; Curse of dimensionality; Bayesian probability; Mathematics; Bayesian inference; Algorithm; Data mining; Machine learning; Artificial intelligence; Statistics; Combinatorics,Bayesian Methods and Mixture Models,Artificial Intelligence,Computer Science,Physical Sciences,Journal of Statistical Software,journal,Francesco Denti,Università Cattolica del Sacro Cuore,https://openalex.org/I103320735,IT,Italy,https://doi.org/10.18637/jss.v106.i09,en,True,diamond,primary_topic.subfield.id:1702,3,0.75,1,1,1
https://openalex.org/W3131971917,A Qualitative Theory of Cognitive Attitudes and their Change,2021,2021-04-06,article,3.0,0.5,0.2798,48.0,"Logic, Reasoning, and Knowledge; Game Theory and Applications; Game Theory and Voting Systems",Variety (cybernetics); Cognition; Belief revision; Logical framework; Logical reasoning; Qualitative research; Deductive reasoning; Logic program,"Logic, Reasoning, and Knowledge",Artificial Intelligence,Computer Science,Physical Sciences,Theory and Practice of Logic Programming,journal,EMILIANO LORINI,Centre National de la Recherche Scientifique; Université Toulouse III - Paul Sabatier; Université Toulouse-I-Capitole; Institut de Recherche en Informatique de Toulouse; Université Toulouse - Jean Jaurès; Institut Polytechnique de Bordeaux,https://openalex.org/I1294671590; https://openalex.org/I134560555; https://openalex.org/I3131550300; https://openalex.org/I4210119061; https://openalex.org/I4210152422; https://openalex.org/I4210160189,FR,France,https://doi.org/10.1017/s1471068421000053,en,True,green,primary_topic.subfield.id:1702,5,0.5,1,6,1
https://openalex.org/W3132043253,Label-Based Convolutional Neural Network for Text Classification,2021,2021-01-14,article,3.0,0.5,0.28,38.0,Topic Modeling; Text and Document Classification Technologies; Advanced Text Analysis Techniques,Computer science; Word embedding; Word (group theory); Artificial intelligence; Convolutional neural network; Embedding; Natural language processing; Representation (politics); Artificial neural network; Pattern recognition (psychology); Mathematics,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,,,Chen Wang; Changgeng Tan,Central South University,https://openalex.org/I139660479,CN,China,https://doi.org/10.1145/3448218.3448235,en,False,closed,primary_topic.subfield.id:1702,5,0.5,2,1,1
